domain,lmdb_key,db_prop,db_class,description,key_schema,value_schema,mult,proposed_keri_ts_target,phase,status,priority,notes,gate,gate_rationale
"Baser","evts.",".evts","LMDB","dgKey: serialized KEL events","(pre, evt SAID)","raw SerderKERI","1","packages/keri/src/db/basing.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|B|C","Core event persistence for init and incept state and list and aid visibility and compatibility reopen."
"Baser","habs.",".habs","Komer","Habitat records (controller databases)","ns + b'\x00' + name","HabitatRecord","1","packages/keri/src/db/basing.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|B|C","Habitat records back list and aid and are required when unlocking existing stores."
"Baser","names.",".names","Suber","Habitat name database; maps (domain, name) -> Prefixer","(ns, name)","pre","1","packages/keri/src/db/basing.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|B|C","Alias to prefix mapping required by list and aid and cross-store compatibility mode."
"Baser","rpys.",".rpys","SerderSuber","Reply '/rpy' messages. Uses .sdts, ssgs, and .scgs for datetimes and sigs","(saider,)","SerderKERI","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Reply messages carry endpoint and location authorizations used by ends add and OOBI bootstrap."
"Baser","rpes.",".repes","CesrIoSetSuber","Reply '/rpy' escrow indices of partially signed reply messages; Maps route->SAID","(route,)","[saider]","*","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Reply escrow indices are needed to complete partially signed endpoint and OOBI related replies."
"Baser","eans.",".eans","CesrSuber","AuthN/AuthZ by local controller cid of endpoint provider at eid for 'role'","(cid.role.eid)","SAID","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Endpoint auth records are required to persist controller role authorization for ends add."
"Baser","lans.",".lans","CesrSuber","AuthN/AuthZ by endpoint provider at eid of location at scheme in URL","(cid.role.eid)","SAID","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Location auth linkage is required for endpoint location resolution during OOBI bootstrap."
"Baser","ends.",".ends","Komer","Service endpoint identifier (eid) auths keyed by controller; extracted from rpy msg","(cid.role.eid)","EndpointRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Primary endpoint authorization table for ends add and mailbox endpoint publication."
"Baser","locs.",".locs","Komer","Service endpoint locations keyed by eid.scheme","(aid, scheme)","LocationRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Endpoint location table needed to store and resolve service URLs for peers and mailboxes."
"Baser","exns.",".exns","SerderSuber","Exchange 'exn' messages","(dig,)","SerderKERI","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|F|G","Exchange message body store underpins controller communications and challenge message transport."
"Baser","esigs.",".esigs","CesrIoSetSuber","Exchange message indexed signatures","(said, pre, snh, ssaid)","Siger","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|F|G","Indexed signatures for exchange messages are required for interoperable communications verification."
"Baser","ecigs.",".ecigs","CatCesrIoSetSuber","Exchange message non-indexed signatures","(dig,)","(verfer, cigar)","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|F|G","Non-indexed exchange signatures are required for full message verification compatibility."
"Baser","chas.",".chas","CesrIoSetSuber","Accepted, signed 12-word challenge response 'exn' messages keyed by signer prefix","(sig,)","Saider","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|G","Challenge acceptance tracking is required for challenge generate respond verify interop."
"Baser","reps.",".reps","CesrIoSetSuber","Successful, signed 12-word challenge response 'exn' messages keyed by signer prefix","(signer,)","Saider","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|G","Challenge response success tracking is required for verification state and replay safety."
"Baser","oobis.",".oobis","Komer","Config-loaded OOBIs to be processed asynchronously; keyed by OOBI URL","OOBI URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Inbound OOBI processing queue required for OOBI resolve and initial trust bootstrap."
"Baser","eoobi.",".eoobi","Komer","Escrow OOBIs that failed to load, retriable; keyed by OOBI URL","OOBI URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Failed OOBI escrow and retry state required for robust OOBI resolution workflows."
"Baser","coobi.",".coobi","Komer","OOBIs with outstanding client requests","OOBI URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Outstanding OOBI client request tracking required to manage in-flight resolution attempts."
"Baser","roobi.",".roobi","Komer","Resolved OOBIs successfully processed","OOBI URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Resolved OOBI state required to confirm completed bootstrap and prevent duplicate processing."
"Baser","woobi.",".woobi","Komer","Well-known OOBIs to be used for MFA against a resolved OOBI","OOBI URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Well-known OOBI state required for endpoint trust and multifactor bootstrap paths."
"Baser","moobi.",".moobi","Komer","Multi-OOBI where association is made between one AID and multiple OOBIs","OOBI URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Multi-OOBI associations required when one AID is discovered across multiple OOBI endpoints."
"Baser","mfa.",".mfa","Komer","Multifactor well-known OOBI authentication records to process; keyed by ctrlr URL","controller URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Pending multifactor OOBI auth records required for advanced endpoint resolution checks."
"Baser","rmfa.",".rmfa","Komer","Resolved multifactor well-known OOBI auth records; keyed by ctrlr URL","controller URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Resolved multifactor OOBI auth records required to finalize trusted endpoint state."
"Baser","hbys.",".hbys","Suber","Global settings for Habery environment","name","pre","1","packages/keri/src/db/basing.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|B|C","Habery global settings required for startup behavior and reopening local or KLI compatible stores."
"Keeper","gbls.",".glbs","Suber","Global parameters for all prefixes. param label -> param","(pre, evt SAID)","raw SerderKERI","1","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|B|C|D","Global keystore params include AEID and salt policy required for init and unlock and encryption semantics."
"Keeper","pris.",".pris","CryptSignerSuber","pubkey -> privkey","qb64: public key","qb64: private key","1","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|C|D","Private key storage and decryption are mandatory for unlocking and signing from encrypted stores."
"Keeper","prxs.",".prxs","CesrSuber","Not yet used by KERIpy, added by Phil for GroupSignifyHab","?","Cipher","?","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|D","Encrypted private extras are part of encrypted keeper semantics and must remain decryptable."
"Keeper","nxts.",".nxts","CesrSuber","Not yet used by KERIpy, added by Phil for GroupSignifyHab","?","Cipher","?","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|D","Encrypted next key material semantics must match for secure at-rest behavior."
"Keeper","pres.",".pres","Cesrsuber","Index of keys to pre; 1stpubkey -> prefix/1stpubkey(temp)","qb64: 1stpubkey","qb64: pre/1stpub","1","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|B|C","Prefix index records are required for incept outputs and identifier visibility after reopen."
"Keeper","prms.",".prms","Komer","Key parameters; pre -> PrePrm","qb64: pre","PrePrm","1","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|B|C|D","Per-prefix key parameters include cryptographic settings and salt behavior required for parity."
"Keeper","sits.",".sits","Komer","Key situations; pre -> PreSit","qb64: pre","PreSit","1","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|B|C","Key situation state is required to reopen keystores and derive stable identifier status."
"Keeper","pubs.",".pubs","Komer","Index of pubkeys by pre & ridx for replay in est evt order","riKey: (pre, ri)","PubSet","1","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|B|C","Public key index ordering is required for deterministic replay and incept compatibility."
"Mailboxer","tpcs.","","Plain LMDB","An index by topic of EXN message digests","topic","Blake3 digest of EXN message","*(on)","packages/keri/src/db/mailboxing.ts (planned)","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|F","Mailbox topic index is required for ordered retrieval and communication synchronization."
"Mailboxer","msgs.","","subing.Suber","EXN messages (CESR streams) of messages to send","digest","Sadder.raw+atc, Serder.raw+atc","1","packages/keri/src/db/mailboxing.ts (planned)","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|F","Mailbox message body storage is required for send and receive interop via mailbox mode."
